반도체,IT 서비스,전기와전자제품,디스플레이,하드웨어,에너지 장비 및 서비스,석유와 가스,에너지,전기유틸리티,가스유틸리티,복합유틸리티,독립 전력 생산 및 에너지 거래,유틸리티,전기통신 서비스,미디어와 엔터테인먼트,커뮤니케이션,식품과 기본 식료품 소매,음식료품,가정용품과 개인용품,은행,증권,다각화된 금융,보험,부동산,화학,포장재,비철금속,철강,종이와 목재,자본재,상업서비스와 공급품,운송,자동차와 부품,내구소비재와 의류,"호텔, 레스토랑, 레저 등",소매(유통),교육서비스,건강관리와 서비스,제약과 생물공학
씨아이에스,벨로크,삼성전기,야스,와이제이엠게임즈,,,,,,,,,,팬엔터테인먼트,,에이치피오,CJ씨푸드,,,,상상인증권,,,한솔제지,영풍제지,,,대창,꿈비,세보엠이씨,이건산업,한독크린텍,풍강,용평리조트,유라테크,,조아제약,녹십자엠에스
티씨케이,파수,엔피디,신화인터텍,아이디스,,,,,,,,,,컴투스홀딩스,,대주산업,신라교역,,,,한국토지신탁,,,경농,율촌화학,,,켐트로스,동방,한화시스템,동양고속,코스메카코리아,유라테크,젬백스링크,삼성출판사,,바이오인프라,대웅제약
넥스트칩,큐로컴,앤씨앤,인베니아,알로이스,,,,,,,,,,위메이드,,CJ씨푸드,교촌에프앤비,,,,이베스트투자증권,,,엠투엔,영흥,,,동남합성,흥국,노루페인트,SIMPAC,신성통상,삼성출판사,노랑풍선,메타랩스,,뷰웍스,케이바이오
티엘비,에프앤가이드,에스티큐브,덕산네오룩스,엔텔스,,,,,,,,,,플레이디,,한일사료,CJ제일제당,,,,유안타증권,,,대창,육일씨엔에쓰,,,쎄니트,이엔코퍼레이션,한일홀딩스,강남제비스코,세동,오토앤,하나투어,오토앤,,알리코제약,테고사이언스
피에스케이,원익피앤이,한국컴퓨터,에스에이티이엔지,나무가,,,,,,,,,,iMBC,,보락,대상,,,,CNH,,,에코프로,동원시스템즈,,,태광산업,코윈테크,신원종합개발,국보디자인,금호에이치티,삼원강재,멀티캠퍼스,삼원강재,,코아스템켐온,대원제약
서플러스글로벌,코콤,유비벨록스,참엔지니어링,와이팜,,,,,,,,,,웹젠,,커머스마이너,보라티알,,,,부국증권,,,켐트로스,아이티센,,,성창기업지주,하이록코리아,희림,나이스디앤비,KR모터스,메타랩스,본느,알톤스포츠,,클래시스,박셀바이오
테스,코나아이,하나기술,미래나노텍,텔레필드,,,,,,,,,,NAVER,,흥국에프엔비,롯데웰푸드,,,,엠벤처투자,,,동남합성,한창산업,,,신대양제지,대창솔루션,HD현대일렉트릭,하이즈항공,대유에이텍,알톤스포츠,세기상사,모토닉,,차백신연구소,셀리드
DB하이텍,파이오링크,재영솔루텍,제이스텍,아이즈비전,,,,,,,,,,조이시티,,스피어파워,에스앤디,,,,큐캐피탈,,,쎄니트,고려제강,,,삼륭물산,HL D&I,한국카본,인화정공,서연탑메탈,토니모리,골프존,일진하이솔루스,,세운메디칼,파마리서치
SFA반도체,광전자,하이비젼시스템,LG디스플레이,대주전자재료,,,,,,,,,,넥슨게임즈,,사조대림,체리부로,,,,우리기술투자,,,태광산업,대륙제관,,,경인양행,대모,도화엔지니어링,다스코,풍강,큐렉소,신성델타테크,큐렉소,,환인제약,에이프로젠
라온테크,SGA솔루션즈,동양이엔피,베셀,이미지스,,,,,,,,,,크래프톤,,,남양유업,,,,KB금융,,,경인양행,국일신동,,,무림P&P,대한해운,코아스,테라사이언스,한국화장품,코리아나,위즈코프,대원강업,,지노믹트리,삼아제약
기가레인,쿠콘,한일진공,우리바이오,알에프텍,,,,,,,,,,제일기획,,,케이씨피드,,,,SV인베스트먼트,,,무림P&P,포스코엠텍,,,쎄노텍,신진에스엠,상지카일룸,아이에스동서,유라테크,대원강업,아이에스이커머스,모나미,,아미노로직스,영진약품
